"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"65-69 years","65-69","Census Region 1: Northeast","CENS-R1","2019","2019",313,3097986,10.1,9.0,11.2,0.6
,"65-69 years","65-69","Census Region 1: Northeast","CENS-R1","2020","2020",448,3169343,14.1,12.8,15.4,0.7
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","1999","1999",Suppressed,2189791,Suppressed,Suppressed,Suppressed,Suppressed
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2000","2000",Suppressed,2180460,Suppressed,Suppressed,Suppressed,Suppressed
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2001","2001",Suppressed,2168148,Suppressed,Suppressed,Suppressed,Suppressed
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2002","2002",17,2171606,Unreliable,0.5,1.3,0.2
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2003","2003",14,2207010,Unreliable,0.3,1.1,0.2
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2004","2004",22,2255060,1.0,0.6,1.5,0.2
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2005","2005",23,2282444,1.0,0.6,1.5,0.2
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2006","2006",18,2330554,Unreliable,0.5,1.2,0.2
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2007","2007",27,2416971,1.1,0.7,1.6,0.2
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2008","2008",44,2542044,1.7,1.3,2.3,0.3
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2009","2009",47,2627324,1.8,1.3,2.4,0.3
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2010","2010",29,2687184,1.1,0.7,1.5,0.2
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2011","2011",66,2756356,2.4,1.9,3.0,0.3
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2012","2012",75,2978083,2.5,2.0,3.2,0.3
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2013","2013",75,3101061,2.4,1.9,3.0,0.3
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2014","2014",123,3253040,3.8,3.1,4.4,0.3
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2015","2015",153,3419321,4.5,3.8,5.2,0.4
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2016","2016",182,3596825,5.1,4.3,5.8,0.4
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2017","2017",251,3626985,6.9,6.1,7.8,0.4
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2018","2018",288,3692938,7.8,6.9,8.7,0.5
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2019","2019",330,3777242,8.7,7.8,9.7,0.5
,"65-69 years","65-69","Census Region 2: Midwest","CENS-R2","2020","2020",438,3868635,11.3,10.3,12.4,0.5
,"65-69 years","65-69","Census Region 3: South","CENS-R3","1999","1999",17,3514376,Unreliable,0.3,0.8,0.1
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2000","2000",14,3522455,Unreliable,0.2,0.7,0.1
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2001","2001",27,3561951,0.8,0.5,1.1,0.1
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2002","2002",36,3605053,1.0,0.7,1.4,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2003","2003",36,3686452,1.0,0.7,1.4,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2004","2004",41,3791490,1.1,0.8,1.5,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2005","2005",47,3892500,1.2,0.9,1.6,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2006","2006",51,4020354,1.3,0.9,1.7,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2007","2007",71,4186731,1.7,1.3,2.1,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2008","2008",80,4423177,1.8,1.4,2.3,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2009","2009",97,4622468,2.1,1.7,2.6,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2010","2010",84,4756334,1.8,1.4,2.2,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2011","2011",128,4920017,2.6,2.2,3.1,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2012","2012",139,5338834,2.6,2.2,3.0,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2013","2013",167,5575289,3.0,2.5,3.4,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2014","2014",194,5843426,3.3,2.9,3.8,0.2
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2015","2015",250,6110697,4.1,3.6,4.6,0.3
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2016","2016",332,6393648,5.2,4.6,5.8,0.3
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2017","2017",346,6367755,5.4,4.9,6.0,0.3
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2018","2018",437,6453953,6.8,6.1,7.4,0.3
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2019","2019",482,6590336,7.3,6.7,8.0,0.3
,"65-69 years","65-69","Census Region 3: South","CENS-R3","2020","2020",647,6765045,9.6,8.8,10.3,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","1999","1999",29,1912118,1.5,1.0,2.2,0.3
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2000","2000",24,1916732,1.3,0.8,1.9,0.3
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2001","2001",20,1940797,1.0,0.6,1.6,0.2
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2002","2002",43,1976446,2.2,1.6,2.9,0.3
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2003","2003",46,2034251,2.3,1.7,3.0,0.3
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2004","2004",43,2099309,2.0,1.5,2.8,0.3
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2005","2005",70,2162783,3.2,2.5,4.1,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2006","2006",70,2236805,3.1,2.4,4.0,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2007","2007",63,2335480,2.7,2.1,3.5,0.3
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2008","2008",90,2480364,3.6,2.9,4.5,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2009","2009",103,2612380,3.9,3.2,4.7,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2010","2010",112,2706438,4.1,3.4,4.9,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2011","2011",124,2837955,4.4,3.6,5.1,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2012","2012",148,3095841,4.8,4.0,5.6,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2013","2013",162,3272844,4.9,4.2,5.7,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2014","2014",216,3455887,6.3,5.4,7.1,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2015","2015",238,3642986,6.5,5.7,7.4,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2016","2016",214,3818314,5.6,4.9,6.4,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2017","2017",278,3827659,7.3,6.4,8.1,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2018","2018",304,3901888,7.8,6.9,8.7,0.4
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2019","2019",336,3989437,8.4,7.5,9.3,0.5
,"65-69 years","65-69","Census Region 4: West","CENS-R4","2020","2020",416,4070644,10.2,9.2,11.2,0.5
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","1999","1999",Suppressed,1865350,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2000","2000",Suppressed,1854374,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2001","2001",Suppressed,1827583,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2002","2002",Suppressed,1795063,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2003","2003",Suppressed,1752128,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2004","2004",Suppressed,1711100,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2005","2005",12,1682494,Unreliable,0.4,1.2,0.2
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2006","2006",17,1661374,Unreliable,0.6,1.6,0.2
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2007","2007",10,1654494,Unreliable,0.3,1.1,0.2
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2008","2008",14,1670347,Unreliable,0.5,1.4,0.2
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2009","2009",16,1696226,Unreliable,0.5,1.5,0.2
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2010","2010",19,1710501,Unreliable,0.7,1.7,0.3
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2011","2011",13,1751771,Unreliable,0.4,1.3,0.2
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2012","2012",17,1813890,Unreliable,0.5,1.5,0.2
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2013","2013",29,1924445,1.5,1.0,2.2,0.3
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2014","2014",33,1992666,1.7,1.1,2.3,0.3
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2015","2015",36,2053531,1.8,1.2,2.4,0.3
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2016","2016",41,2104476,1.9,1.4,2.6,0.3
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2017","2017",53,2299035,2.3,1.7,3.0,0.3
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2018","2018",77,2375041,3.2,2.6,4.1,0.4
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2019","2019",112,2478132,4.5,3.7,5.4,0.4
,"70-74 years","70-74","Census Region 1: Northeast","CENS-R1","2020","2020",141,2583891,5.5,4.6,6.4,0.5
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","1999","1999",Suppressed,2079062,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2000","2000",Suppressed,2067250,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2001","2001",Suppressed,2044877,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2002","2002",Suppressed,2011241,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2003","2003",Suppressed,1975063,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2004","2004",Suppressed,1941570,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2005","2005",11,1928603,Unreliable,0.3,1.0,0.2
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2006","2006",Suppressed,1928897,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2007","2007",16,1938120,Unreliable,0.5,1.3,0.2
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2008","2008",15,1969611,Unreliable,0.4,1.3,0.2
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2009","2009",17,2016707,Unreliable,0.5,1.3,0.2
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2010","2010",21,2037713,1.0,0.6,1.6,0.2
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2011","2011",18,2093417,Unreliable,0.5,1.4,0.2
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2012","2012",15,2170110,Unreliable,0.4,1.1,0.2
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2013","2013",28,2284176,1.2,0.8,1.8,0.2
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2014","2014",36,2358544,1.5,1.1,2.1,0.3
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2015","2015",37,2418534,1.5,1.1,2.1,0.3
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2016","2016",47,2459530,1.9,1.4,2.5,0.3
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2017","2017",65,2670130,2.4,1.9,3.1,0.3
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2018","2018",89,2779882,3.2,2.6,3.9,0.3
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2019","2019",104,2916794,3.6,2.9,4.3,0.3
,"70-74 years","70-74","Census Region 2: Midwest","CENS-R2","2020","2020",110,3067527,3.6,2.9,4.3,0.3
,"70-74 years","70-74","Census Region 3: South","CENS-R3","1999","1999",Suppressed,3190578,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2000","2000",Suppressed,3189398,Suppressed,Suppressed,Suppressed,Suppressed
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2001","2001",15,3194967,Unreliable,0.3,0.8,0.1
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2002","2002",16,3189546,Unreliable,0.3,0.8,0.1
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2003","2003",20,3187762,0.6,0.4,1.0,0.1
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2004","2004",27,3184268,0.8,0.6,1.2,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2005","2005",22,3220688,0.7,0.4,1.0,0.1
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2006","2006",24,3269589,0.7,0.5,1.1,0.1
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2007","2007",40,3313750,1.2,0.9,1.6,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2008","2008",25,3396945,0.7,0.5,1.1,0.1
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2009","2009",53,3490888,1.5,1.1,2.0,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2010","2010",39,3550425,1.1,0.8,1.5,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2011","2011",42,3689754,1.1,0.8,1.5,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2012","2012",41,3853410,1.1,0.8,1.4,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2013","2013",66,4082070,1.6,1.3,2.1,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2014","2014",79,4276263,1.8,1.5,2.3,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2015","2015",65,4446576,1.5,1.1,1.9,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2016","2016",119,4584197,2.6,2.1,3.1,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2017","2017",109,4984823,2.2,1.8,2.6,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2018","2018",151,5208527,2.9,2.4,3.4,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2019","2019",149,5440530,2.7,2.3,3.2,0.2
,"70-74 years","70-74","Census Region 3: South","CENS-R3","2020","2020",204,5681983,3.6,3.1,4.1,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","1999","1999",17,1742421,Unreliable,0.6,1.6,0.2
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2000","2000",21,1746419,1.2,0.7,1.8,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2001","2001",14,1754519,Unreliable,0.4,1.3,0.2
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2002","2002",26,1754204,1.5,1.0,2.2,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2003","2003",26,1755166,1.5,1.0,2.2,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2004","2004",26,1757166,1.5,1.0,2.2,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2005","2005",28,1771285,1.6,1.1,2.3,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2006","2006",28,1789966,1.6,1.0,2.3,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2007","2007",28,1822128,1.5,1.0,2.2,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2008","2008",45,1874429,2.4,1.8,3.2,0.4
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2009","2009",41,1936901,2.1,1.5,2.9,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2010","2010",39,1979527,2.0,1.4,2.7,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2011","2011",38,2073008,1.8,1.3,2.5,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2012","2012",61,2170629,2.8,2.1,3.6,0.4
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2013","2013",76,2317358,3.3,2.6,4.1,0.4
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2014","2014",97,2445551,4.0,3.2,4.8,0.4
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2015","2015",70,2564408,2.7,2.1,3.4,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2016","2016",106,2662044,4.0,3.2,4.7,0.4
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2017","2017",118,2893077,4.1,3.3,4.8,0.4
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2018","2018",107,3041973,3.5,2.9,4.2,0.3
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2019","2019",151,3192976,4.7,4.0,5.5,0.4
,"70-74 years","70-74","Census Region 4: West","CENS-R4","2020","2020",150,3342330,4.5,3.8,5.2,0.4
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","1999","1999",Suppressed,1565081,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2000","2000",0,1581308,Unreliable,0.0,0.0,0.0
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2001","2001",Suppressed,1580830,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2002","2002",Suppressed,1580801,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2003","2003",Suppressed,1579130,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2004","2004",Suppressed,1560662,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2005","2005",Suppressed,1542471,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2006","2006",Suppressed,1520212,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2007","2007",Suppressed,1494698,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2008","2008",Suppressed,1459509,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2009","2009",Suppressed,1428722,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2010","2010",13,1417971,Unreliable,0.5,1.6,0.3
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2011","2011",Suppressed,1406234,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2012","2012",13,1407607,Unreliable,0.5,1.6,0.3
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2013","2013",14,1424880,Unreliable,0.5,1.6,0.3
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2014","2014",12,1451609,Unreliable,0.4,1.4,0.2
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2015","2015",Suppressed,1472428,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2016","2016",26,1502510,1.7,1.1,2.5,0.3
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2017","2017",13,1575644,Unreliable,0.4,1.4,0.2
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2018","2018",29,1661818,1.7,1.2,2.5,0.3
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2019","2019",32,1722292,1.9,1.3,2.6,0.3
,"75-79 years","75-79","Census Region 1: Northeast","CENS-R1","2020","2020",27,1771444,1.5,1.0,2.2,0.3
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","1999","1999",Suppressed,1735401,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2000","2000",Suppressed,1745178,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2001","2001",Suppressed,1748780,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2002","2002",10,1748881,Unreliable,0.3,1.1,0.2
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2003","2003",Suppressed,1752952,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2004","2004",Suppressed,1737894,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2005","2005",Suppressed,1728003,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2006","2006",Suppressed,1717577,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2007","2007",Suppressed,1696061,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2008","2008",Suppressed,1668193,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2009","2009",19,1642729,Unreliable,0.7,1.8,0.3
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2010","2010",13,1640849,Unreliable,0.4,1.4,0.2
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2011","2011",Suppressed,1641681,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2012","2012",11,1651991,Unreliable,0.3,1.2,0.2
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2013","2013",15,1682638,Unreliable,0.5,1.5,0.2
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2014","2014",11,1724812,Unreliable,0.3,1.1,0.2
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2015","2015",13,1749816,Unreliable,0.4,1.3,0.2
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2016","2016",12,1786267,Unreliable,0.3,1.2,0.2
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2017","2017",27,1858197,1.5,1.0,2.1,0.3
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2018","2018",25,1959409,1.3,0.8,1.9,0.3
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2019","2019",30,2021452,1.5,1.0,2.1,0.3
,"75-79 years","75-79","Census Region 2: Midwest","CENS-R2","2020","2020",40,2069086,1.9,1.4,2.6,0.3
,"75-79 years","75-79","Census Region 3: South","CENS-R3","1999","1999",Suppressed,2579684,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2000","2000",Suppressed,2604562,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2001","2001",13,2626002,Unreliable,0.3,0.8,0.1
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2002","2002",14,2639685,Unreliable,0.3,0.9,0.1
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2003","2003",10,2660717,Unreliable,0.2,0.7,0.1
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2004","2004",18,2664682,Unreliable,0.4,1.1,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2005","2005",19,2685391,Unreliable,0.4,1.1,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2006","2006",14,2698977,Unreliable,0.3,0.9,0.1
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2007","2007",16,2699420,Unreliable,0.3,1.0,0.1
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2008","2008",15,2706595,Unreliable,0.3,0.9,0.1
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2009","2009",29,2705266,1.1,0.7,1.5,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2010","2010",Suppressed,2729624,Suppressed,Suppressed,Suppressed,Suppressed
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2011","2011",18,2784220,Unreliable,0.4,1.0,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2012","2012",26,2836614,0.9,0.6,1.3,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2013","2013",19,2921613,Unreliable,0.4,1.0,0.1
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2014","2014",35,3027662,1.2,0.8,1.6,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2015","2015",40,3120048,1.3,0.9,1.7,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2016","2016",33,3231089,1.0,0.7,1.4,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2017","2017",50,3382920,1.5,1.1,1.9,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2018","2018",49,3597130,1.4,1.0,1.8,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2019","2019",66,3757541,1.8,1.4,2.2,0.2
,"75-79 years","75-79","Census Region 3: South","CENS-R3","2020","2020",60,3902234,1.5,1.2,2.0,0.2
,"75-79 years","75-79","Census Region 4: West","CENS-R4","1999","1999",14,1462440,Unreliable,0.5,1.6,0.3
,"75-79 years","75-79","Census Region 4: West","CENS-R4","2000","2000",12,1484765,Unreliable,0.4,1.4,0.2
,"75-79 years","75-79","Census Region 4: West","CENS-R4","2001","2001",12,1499801,Unreliable,0.4,1.4,0.2
,"75-79 years","75-79","Census Region 4: West","CENS-R4","2002","2002",13,1501094,Unreliable,0.5,1.5,0.2
,"75-79 years","75-79","Census Region 4: West","CENS-R4","2003","2003",17,1505043,Unreliable,0.7,1.8,0.3
,"75-79 years","75-79","Census Region 4: West","CENS-R4","2004","2004",19,1498161,Unreliable,0.8,2.0,0.3
,"75-79 years","75-79","Census Region 4: West","CENS-R4","2005","2005",19,1507744,Unreliable,0.8,2.0,0.3
,"75-79 years","75-79","Census Region 4: West","CENS-R4","2006","2006",16,1510268,Unreliable,0.6,1.7,0.3
